OBJECTID,globalid,nhfr_uid,nhfr_facility_code,country,iso,state,lga,lga_name_disagreement,ward,ward_name_disagreement,facility_name,facility_name_source,ownership,ownership_type,facility_level,facility_level_option,latitude,longitude,geocoordinates_source,last_updated,x,y
1,9c2b58dd-1e99-49b9-970e-eabce1c7dd10,57132712,08/07/1/1/1/0030,Nigeria,NGA,Borno,Damboa,0,Gumsuri,0,Gumsuri Primary Health Care Center,NHFR_2024,Public,Local Government,Primary,Primary Health Center,11.05984,12.80855,NHFR_2024,2024-11-11,12.80855,11.0598400000001
2,5a3864b5-d66b-4683-90cd-9c76af393450,42800186,08/02/1/1/1/0044,Nigeria,NGA,Borno,Askira/Uba,0,Uba,0,Uba Primary Health Center,NHFR_2024,Public,Local Government,Primary,Primary Health Center,10.4589969996,13.2138180004,GRID3_EHEALTH,2024-11-11,13.2138180000001,10.4589970000001
3,cfe845eb-9f71-4b99-9603-d2f389a73ba0,26934297,08/02/1/1/1/0034,Nigeria,NGA,Borno,Askira/Uba,0,Ngulde,0,Ngulde Comprehensive Health Center,NHFR_2024,Public,Local Government,Primary,Primary Health Center,10.6323430004,12.5458080005,GRID3_EHEALTH,2024-11-11,12.545808,10.632343
4,0fcbdf4a-8ea2-4df9-9167-4c9f1377f27c,43109689,08/06/1/1/1/0021,Nigeria,NGA,Borno,Chibok,0,Shikarkir,0,Shikarkir Primary Health Center,NHFR_2024,Public,Local Government,Primary,Primary Health Center,10.8027800002,12.7768000004,GRID3_EHEALTH,2024-11-11,12.7768,10.80278
5,12c47bd1-535e-4de7-9cad-ad34f43b1965,28489340,08/06/1/1/1/0025,Nigeria,NGA,Borno,Chibok,0,Kuburmbula,0,Mifa Health Post,NHFR_2024,Public,Local Government,Primary,Health Post,10.8886899996,12.9037699997,GRID3_EHEALTH,2024-11-11,12.9037700000001,10.8886900000001
6,9606fce0-b208-4d77-a0b8-3ba6767cc7eb,49239747,08/20/1/1/1/0008,Nigeria,NGA,Borno,Magumeri,0,Gajigana,0,Gajigana Model Primary Health Care Center,NHFR_2024,Public,Unknown,Primary,Health Post,12.2498950004,13.1042699999,GRID3_EHEALTH,2024-11-11,13.10427,12.249895
7,98b2214a-1b02-4151-9209-c91954e9ebe1,41316065,08/19/1/1/1/0022,Nigeria,NGA,Borno,Mafa,0,Loskori,0,Nguwom Primary Health Center,NHFR_2024,Public,Local Government,Primary,Primary Health Center,11.8844400001,13.3453799998,GRID3_EHEALTH,2024-11-11,13.34538,11.88444
8,491fd10b-a3d4-4d0f-9450-e544848435f7,13865119,08/18/1/1/1/0013,Nigeria,NGA,Borno,Kwaya Kusar,0,Kurbagayi,0,Kurbagayi Primary Health Center,NHFR_2024,Public,Local Government,Primary,Primary Health Center,10.4733740797,11.7770045664,GRID3_EHEALTH,2024-11-11,11.7770045660001,10.47337408
9,461e2781-bade-4e8c-8928-7f7920c9564d,63887155,29/22/1/1/1/0002,Nigeria,NGA,Osun,Isokan,0,Oranran,1,Abidemi Primary Health Center,NHFR_2024,Public,Local Government,Primary,Primary Health Center,7.274902344,4.1953125,GRID3_EHEALTH,2024-11-11,4.19531250000006,7.27490234400005
10,8e662b33-0bcb-4e75-88aa-214437bd7ba3,46521839,13/04/1/1/1/0001,Nigeria,NGA,Ekiti,Ekiti South West,0,Odo Igbara,1,Igbara Odo Primary Health Clinic,NHFR_2024,Public,Local Government,Primary,Primary Health Center,7.50217,5.065215,GRID3_EHEALTH,2024-11-11,5.06521500000002,7.50217000000004
11,7a7a9e73-3d57-473a-962c-9c93625019b6,69733393,08/24/1/1/1/0030,Nigeria,NGA,Borno,Monguno,0,Monguno,0,Water Board Aah Clinic,NHFR_2024,Public,Local Government,Primary,Primary Health Center,12.68298,13.61403,GRID3_EHEALTH,2024-11-11,13.6140300000001,12.68298
12,1789628f-72e7-42e5-a916-329cd857dc76,64397706,08/24/1/1/1/0028,Nigeria,NGA,Borno,Monguno,0,Monguno,0,Nrc Idps Camp Aah Clinic,NHFR_2024,Public,Local Government,Primary,Unknown,12.67774,13.62142,GRID3_EHEALTH,2024-11-11,13.6214200000001,12.67774
13,d8c60b8a-57a8-4671-8bc2-5910c60521c2,29858613,16/08/1/1/1/0012,Nigeria,NGA,Imo,Ikeduru,1,Iho,1,Iho Basic Health Center,NHFR_2024,Public,Local Government,Primary,Primary Health Center,5.5818558,7.10398666,GRID3_EHEALTH,2024-11-11,7.10398666000003,5.58185580000003
14,7bec5ac2-6386-4dcc-8ab5-b8a0abcfae0b,26968480,08/15/1/2/1/0001,Nigeria,NGA,Borno,Kala/Balge,0,Rann,0,Rann Primary Health Center,NHFR_2024,Public,Local Government,Primary,Primary Health Center,12.2681856,14.4659828,GRID3_EHEALTH,2024-11-11,14.4659828000001,12.2681856
