hfr_id,hfr_name,gers_id,overture_name,score,decision
fde52dcb-f5b9-40b1-93ad-b2a02d674ada,Karfi Health Clinic,,,0.0,no_overture_place
79ec8d6a-e76e-42c6-abd2-8b7273cd7539,Kunshamaa Health Clinic,,,0.0,no_overture_place
a4df570b-3847-4804-b003-76b63118d3d3,Dugabau Health Clinic,,,0.0,no_overture_place
35abbfdd-c6ca-449d-8f90-5d059ade0098,Darmanawa Health Clinic,,,0.0,no_match
7be96824-2719-4e8b-b6d5-4c8ea462c7c0,Yauran Health Center,,,0.0,no_overture_place
ff5d545c-1c26-4c14-844c-fc9c6cd9cc7a,Runji Health Center,,,0.0,no_overture_place
92938283-38fc-4ba0-9e23-51a7fbe99928,Dususu Health Center,,,0.0,no_overture_place
260d05dc-b0cd-4755-8485-d841c348c09a,Gabari Health Center,,,0.0,no_overture_place
68e336c2-f891-41e7-ab55-06d6b91f0d21,Sarauniya Health Center,,,0.0,no_overture_place
d50fdcf3-f513-4118-a3c5-7197d12b60bd,Kadawa Health Center,,,0.0,no_overture_place
d1fdc055-a37c-4ddc-8906-5e7889de9634,Labour Abasawa Health Center,,,0.0,no_overture_place
bbd4d0bf-3942-4261-8a66-1dd6aebf6413,Garo Primary Health Care,,,0.0,no_overture_place
97c14284-e8a9-46e8-a640-723e7187595c,Dunin Primary Health Care,,,0.0,no_overture_place
f7f13dbc-3aa9-44a7-ab82-3c02acd49328,Kwankwaso Health Care,,,0.0,no_overture_place
8aa79a78-d62c-4359-a8e7-6adf4a5eaeaf,Leni Health Center,,,0.0,no_overture_place
aeb794c7-0fb0-4951-8a1c-d9528fb9d83b,Bachirawa Health Center,,,0.0,no_overture_place
ac87f9f5-95db-4ab5-9328-284831fbb4be,Dungurawa Health Center,,,0.0,no_overture_place
f62ed0a5-dc62-41a3-8b34-32f71a4565f5,Gadau Health Center,,,0.0,no_overture_place
70c4c3df-aa80-4cf7-9f13-e0358d18704e,Chedi Babbar Ruga Health Center,,,0.0,no_overture_place
4642fcfa-8ce8-42dd-b063-04747bfc9d59,Gargari Health Center,,,0.0,no_overture_place
361d9d54-7a08-41bc-a43a-b741a833f374,Romi Health Center,,,0.0,no_overture_place
f2f56193-942a-4e16-a96d-e9e43f33160c,Jalli Health Center,,,0.0,no_overture_place
9e5c1590-fb51-4870-94a0-24b527aa95e4,Kwa Health Center,,,0.0,no_overture_place
fa575e50-e10d-45cd-a658-dac63b7acc13,Joben Marke Health Center,,,0.0,no_overture_place
e424d4c7-cdad-47df-8dff-8176c3e76d54,Marke Health Center,,,0.0,no_overture_place
ee1e3c5e-617c-4b07-9344-401236535850,Kunya Primary Health Care,,,0.0,no_overture_place
48799221-012c-4427-9e10-8ddd5f053d46,Rahama B Health Clinic,,,0.0,no_overture_place
72f32874-0616-4216-b800-c1249be8897f,Danja Primary Health Care,,,0.0,no_overture_place
c3df3e61-29f2-4907-9d1b-a908f8fac38a,Mangwaro Primary Health Center,3c67f409-d50d-4d52-94e4-28f2e8303b1c,Bugu da Aya Islamic Herbal Center,0.6766,review
d9d7f622-b81d-4c07-a32b-45382edf3e0c,Gwamai Health Center,,,0.0,no_overture_place
dfb73cf9-29da-46bd-b304-c86c7369a708,Gabasawa Health Care,,,0.0,no_overture_place
e204a501-a815-4f04-8bf8-d3501fc0b66a,Balare Model Primary Health Center,,,0.0,no_overture_place
d7416eba-c0b5-4248-aa17-42f15f2ce73f,Dan Hassan Primary Health Center,,,0.0,no_match
046403e3-56d3-4eee-a342-6779bb7dd582,Rahama Basic Health Center,,,0.0,no_overture_place
05c67890-b8e0-4678-8923-cfb88772f370,Borno Health Care,,,0.0,no_overture_place
df48efd6-71b9-4e44-80e5-a2ff715f54c9,Tumfafi Health Clinic,,,0.0,no_match
