osm_id,osm_name,osm_type,hfr_id,hfr_name,hfr_type,hfr_lga,probability,decision,factor_name,factor_geo,distance_km,type_agree,explanation
node/2154481142,Ayolik Medical Center,CLINIC,74ebcd03-8a47-4357-a5fc-1fd962a4c8e9,Ayolik Medical Center,CLINIC,Oredo,0.9824,match,1.0,0.9955,0.007,True,name 100%; 0.0 km apart; type match
node/2161111314,Urban Health Center,PHC,08fcb2c6-7d4b-4404-862d-c23b4be6137a,Urban Primary Health Center,PHC,Oredo,0.9824,match,1.0,0.9946,0.008,True,name 100%; 0.0 km apart; type match
way/84169534,NNPC Medical Centre,CLINIC,a415679a-12fe-4ef3-84c9-92973f67e5c1,Nnpc Medical Center,CLINIC,Oredo,0.9824,match,1.0,0.9922,0.012,True,name 100%; 0.0 km apart; type match
way/85516068,Shalom Dental Clinic,CLINIC,77825328-dbfd-43c8-a7a6-e16e0fe619a8,Shalom Dental Clinic,CLINIC,Oredo,0.9824,match,1.0,0.9929,0.011,True,name 100%; 0.0 km apart; type match
way/189364697,OSASIMA NURSING AND MATERNITY HOME,MATERNITY,3f93d72b-2f9a-4e4a-a350-db7f3db11036,Osasima Nursing and Maternity,MATERNITY,Egor,0.9824,match,1.0,0.9962,0.006,True,name 100%; 0.0 km apart; type match
way/283791637,UKHIRI HEALTH CENTRE,PHC,5015a5cc-d1f6-4d7f-93ed-bd6d56fdfb66,Ukhiri Primary Health Center,PHC,Ikpoba-Okha,0.9824,match,1.0,0.9914,0.013,True,name 100%; 0.0 km apart; type match
way/791290846,ST James Clinic and Maternity,MATERNITY,bd45e4e9-548e-4bf3-9dc0-0d3e6251c8af,St James Clinic and Maternity,MATERNITY,Egor,0.9824,match,1.0,0.996,0.006,True,name 100%; 0.0 km apart; type match
way/791453138,Bupa Medical Centre,CLINIC,bbc42b47-8d7b-429c-b0c3-ab4d1c76bcb7,Bupa Medical Center,CLINIC,Oredo,0.9824,match,1.0,0.9925,0.011,True,name 100%; 0.0 km apart; type match
way/791453142,Azuwa Hospital,HOSPITAL,a4471527-57a3-406b-abe9-b59e7ab57752,Azuwa Hospital,HOSPITAL,Oredo,0.9824,match,1.0,0.9978,0.003,True,name 100%; 0.0 km apart; type match
way/188794645,BETHSAIDA MISSIONARY CLINIC,CLINIC,a96abfab-e550-48e2-a79b-e656b2504024,Bethsaida Missionary Clinic,CLINIC,Egor,0.9819,match,1.0,0.9882,0.018,True,name 100%; 0.0 km apart; type match
way/791290848,Lella Specialist Hospital,HOSPITAL,714b63eb-a419-4d00-9703-c246c49c3735,Lella Specialist Hospital,HOSPITAL,Oredo,0.9819,match,1.0,0.9867,0.02,True,name 100%; 0.0 km apart; type match
way/791290853,Irowa Medical Center,CLINIC,9a5e800d-602e-4ee1-a518-8502442cb95c,Irowa Medical Center,CLINIC,Oredo,0.9818,match,1.0,0.9843,0.024,True,name 100%; 0.0 km apart; type match
way/791453147,Christ Medical Center,CLINIC,6fcf8400-e302-4956-940e-5fae5a2c3d17,Christ Medical Center,CLINIC,Oredo,0.9818,match,1.0,0.9844,0.024,True,name 100%; 0.0 km apart; type match
way/791290840,Quality Medical Centre,CLINIC,3bcfca11-31cd-4a4c-94eb-3cf2f37a068f,Quality Medical Center,CLINIC,Egor,0.9816,match,1.0,0.9807,0.029,True,name 100%; 0.0 km apart; type match
way/803644032,Udo Primary Health Center,PHC,83f9130b-cea5-4665-9af5-cedbe6ab7f97,Udo Primary Health Center,PHC,Ovia South-West,0.9811,match,1.0,0.9695,0.046,True,name 100%; 0.0 km apart; type match
way/791453146,NAF Medical Centre,CLINIC,c389bb5c-4a33-4ac3-a3b6-e723ab4ff168,Naf Medical Center,CLINIC,Oredo,0.9794,match,1.0,0.9324,0.105,True,name 100%; 0.1 km apart; type match
way/791453130,Fouintain Of Life Hospital,HOSPITAL,cc6b1c57-a5a8-4a46-98bd-2ae736d4d7a9,Fountain of Life Hospital,HOSPITAL,Oredo,0.9792,match,0.9697,0.9933,0.01,True,name 97%; 0.0 km apart; type match
way/862592003,Military Hospital,HOSPITAL,72bf2d52-e540-40fd-9f26-c23d5147fc14,Military Hospital,HOSPITAL,Oredo,0.979,match,1.0,0.9241,0.118,True,name 100%; 0.1 km apart; type match
way/47380654,Time Medical Clinic & Maternity,MATERNITY,eae4c253-3417-47de-bc4c-a2f5f803e3d5,Time Medical Clinic and Maternity,MATERNITY,Oredo,0.9779,match,0.9644,0.9855,0.022,True,name 96%; 0.0 km apart; type match
way/84169502,Prime Optical Eye Clinic,CLINIC,cf73311e-bc1c-465f-ac76-c959cf7913db,Prime Optical and Eye Clinic,CLINIC,Oredo,0.9774,match,0.9619,0.983,0.026,True,name 96%; 0.0 km apart; type match
way/791453150,Itual Medical centre,CLINIC,54aee2d3-0ef4-42ab-bb33-75a88456f953,Itua Medical Center,CLINIC,Oredo,0.9766,match,0.96,0.9711,0.044,True,name 96%; 0.0 km apart; type match
node/2154559295,Horatio Dential Clinic,CLINIC,f9bf0b7a-5dba-4627-8c73-99698edb5b56,Horation Dental,PHC,Oredo,0.9762,match,0.9448,0.9914,0.013,False,name 94%; 0.0 km apart; type differs
way/124707662,Ihenhen medical centre,CLINIC,0e4fdf8e-f182-410c-9481-80cb4fa319d6,Ihenyen Medical Center,CLINIC,Oredo,0.975,match,0.9429,0.9837,0.025,True,name 94%; 0.0 km apart; type match
way/85704339,Edi International Hospital,HOSPITAL,e2d79569-7610-429c-bf48-8cdd0b88453f,Edi Inetrnational Limited,PHC,Oredo,0.9725,match,0.9242,0.9867,0.02,False,name 92%; 0.0 km apart; type differs
way/790442217,Aljumah Maternity and Nursing Home,MATERNITY,d16463a4-f103-4e62-97a8-3b8e638c2052,Aljumah Nursing and Maternity Home,MATERNITY,Egor,0.9698,match,0.9057,0.9897,0.015,True,name 91%; 0.0 km apart; type match
node/2154223853,Abe Medical Clinic and Maternity,MATERNITY,da7a466d-bc66-4b1a-9841-87449996fb59,Medical Clinic and Maternity,MATERNITY,Oredo,0.9696,match,0.9,0.9975,0.004,True,name 90%; 0.0 km apart; type match
way/124707617,Bethel faith medical centre and maternity,CLINIC,6286ff43-1527-437e-bac6-af36db3f2a2c,Bethel Faith Medical Center,CLINIC,Oredo,0.9672,match,0.8923,0.986,0.021,True,name 89%; 0.0 km apart; type match
way/791290842,The Lord Maternity and Nursing Home,MATERNITY,68b35cc0-b929-4248-8df8-4f9f2dab26ad,The Lords Maternityand Nursing Home,MATERNITY,Egor,0.9658,match,0.8789,0.9908,0.014,True,name 88%; 0.0 km apart; type match
way/47395584,Amuiuwu Hospital,HOSPITAL,9929d41a-b4ba-46d1-87ec-67026d748e5b,Aimiuwu Hospital,HOSPITAL,Oredo,0.9616,match,0.8571,0.9975,0.004,True,name 86%; 0.0 km apart; type match
way/84169707,Syncamore HHospital,HOSPITAL,d447eb70-2a32-4bed-b233-c47c67ed8e21,Sycamore Hospital,HOSPITAL,Oredo,0.9591,match,0.8456,0.9987,0.002,True,name 85%; 0.0 km apart; type match
way/790442215,A1 Winnes Maternity and Nursing Home,MATERNITY,1f42c7df-5d03-4fc0-89cb-b8a9561edb8d,A1 Winner Clinic and Maternity,MATERNITY,Egor,0.9573,match,0.8456,0.9804,0.03,True,name 85%; 0.0 km apart; type match
way/791290851,Ayuko hospital,HOSPITAL,15694716-9a22-4fd3-86d1-6543fef51420,Ayunko Clinic and Maternity Home,MATERNITY,Akoko-Edo,0.9546,match,0.8353,0.978,0.033,False,name 84%; 0.0 km apart; type differs
way/803663095,PRIMARY HEALTH CARE,HOSPITAL,e1b7b358-503f-40b3-a03d-20cae067f91e,Utagban Primary Health Care,PHC,Oredo,0.9546,match,0.8261,0.9922,0.012,False,name 83%; 0.0 km apart; type differs
way/791453151,Chisi Cottage Clinic,CLINIC,ff829fe4-16cf-455e-9240-97ac4e74e9d7,Christ Cottage Clinic and Maternity,MATERNITY,Egor,0.9444,match,0.7964,0.9809,0.029,False,name 80%; 0.0 km apart; type differs
node/2161111550,Valif Pharmacy,PHARMACY,74ebcd03-8a47-4357-a5fc-1fd962a4c8e9,Ayolik Medical Center,CLINIC,Oredo,0.8938,review,0.7,0.912,0.138,False,name 70%; 0.1 km apart; type differs
node/2154569173,Itohan Chemist,PHARMACY,49e0e37d-b287-4db9-b9b8-ecaa070272f9,Itohan Medical Center,CLINIC,Egor,0.8801,match,1.0,0.1376,2.975,False,name 100%; 3.0 km apart; type differs
