osm_id,osm_name,osm_type,hfr_id,hfr_name,hfr_type,hfr_lga,probability,decision,factor_name,factor_geo,distance_km,type_agree,explanation
node/2923098159,Tsara Primary Health Centre,PHC,f42a333a-456f-4ec6-a505-535a166d38d2,Tsara Primary Health Center,PHC,Rogo,0.9824,match,1.0,0.9987,0.002,True,name 100%; 0.0 km apart; type match
node/2923263866,Dayaso Health Post,HEALTH_POST,e71963b3-e30d-41af-ad2f-ea261d205416,Dayaso Health Post,HEALTH_POST,Rogo,0.9824,match,1.0,0.9976,0.004,True,name 100%; 0.0 km apart; type match
node/2923263868,Gwangwan Primary Health Centre,PHC,04c311af-bd0a-4805-8d39-5b0a046d5104,Gwangwan Health Clinic,CLINIC,Rogo,0.9824,match,1.0,0.9979,0.003,False,name 100%; 0.0 km apart; type differs
node/2923263869,Hago Primary Health Centre,PHC,88fea611-bd5d-42aa-a269-a8a6b37643bc,Hago Health Post,HEALTH_POST,Rogo,0.9824,match,1.0,0.9978,0.003,False,name 100%; 0.0 km apart; type differs
node/2923263870,Ruwan Bago Health Post,HEALTH_POST,f71de7ca-edf6-4618-9c08-57ce46852a7c,Ruwan Bago Health Post,HEALTH_POST,Rogo,0.9824,match,1.0,0.9987,0.002,True,name 100%; 0.0 km apart; type match
node/2923263871,Sundu Health Post,HEALTH_POST,02af41ec-4d81-4371-b94c-fa3fb3c33481,Sundu Health Post,HEALTH_POST,Rogo,0.9824,match,1.0,0.9923,0.012,True,name 100%; 0.0 km apart; type match
node/2923263872,Tudun Magaji Health Post,HEALTH_POST,c91fc72b-14af-4287-9922-3d9e728b5027,Tudun Magaji Health Post,HEALTH_POST,Rogo,0.9824,match,1.0,0.9976,0.004,True,name 100%; 0.0 km apart; type match
node/2923263873,Unguwar Liman Health Post,HEALTH_POST,0d65d4d3-7a63-4c41-8c43-95808dd5f752,Unguwar Liman Health Post,HEALTH_POST,Rogo,0.9824,match,1.0,0.9988,0.002,True,name 100%; 0.0 km apart; type match
node/2923263874,Unguwar Malam Amadu Health Post,HEALTH_POST,1bb9e7eb-1729-4e03-86e9-5893c928c043,Unguwar Mallam Amadu Health Post,HEALTH_POST,Rogo,0.9824,match,0.99,0.9982,0.003,True,name 99%; 0.0 km apart; type match
node/2923366080,Kauyen Liman Health Post,HEALTH_POST,9c8186d4-5f7e-463a-8a1a-e61d20c28bc3,Kauyen Liman Health Post,HEALTH_POST,Rogo,0.9824,match,1.0,0.999,0.001,True,name 100%; 0.0 km apart; type match
node/2923366082,Tsohuwar Rogo Health Post,HEALTH_POST,7e19dd21-2088-48a0-a011-27c0f43d8e45,Tsohuwar Rogo Health Post,HEALTH_POST,Rogo,0.9824,match,1.0,0.9949,0.008,True,name 100%; 0.0 km apart; type match
