osm_id,osm_name,osm_type,hfr_id,hfr_name,hfr_type,hfr_lga,probability,decision,factor_name,factor_geo,distance_km,type_agree,explanation,human_label
node/2923098159,Tsara Primary Health Centre,PHC,f42a333a-456f-4ec6-a505-535a166d38d2,Tsara Primary Health Center,PHC,Rogo,0.9824,match,1.0,0.9987,0.002,True,name 100%; 0.0 km apart; type match,
node/2923263870,Ruwan Bago Health Post,HEALTH_POST,f71de7ca-edf6-4618-9c08-57ce46852a7c,Ruwan Bago Health Post,HEALTH_POST,Rogo,0.9824,match,1.0,0.9987,0.002,True,name 100%; 0.0 km apart; type match,
node/2923263874,Unguwar Malam Amadu Health Post,HEALTH_POST,1bb9e7eb-1729-4e03-86e9-5893c928c043,Unguwar Mallam Amadu Health Post,HEALTH_POST,Rogo,0.9824,match,0.99,0.9982,0.003,True,name 99%; 0.0 km apart; type match,
node/2923485905,Jajaye Primary Health Centre,PHC,f5775af9-3c06-4b4a-bcca-65c76e194c1d,Jajaye Health Post,HEALTH_POST,Rogo,0.9824,match,1.0,0.9909,0.014,False,name 100%; 0.0 km apart; type differs,
node/2923573777,Daura Health Post,HEALTH_POST,c0886de9-aa23-436b-a898-78162a0662ed,Daura Health Post,HEALTH_POST,Karaye,0.9824,match,1.0,0.9967,0.005,True,name 100%; 0.0 km apart; type match,
node/2923573784,Sabon Birni Primary Health Centre,PHC,ff7c30a5-7779-44a4-ae22-ac61667228c4,Sabon Birni Health Post,HEALTH_POST,Gwarzo,0.9824,match,1.0,0.9977,0.003,False,name 100%; 0.0 km apart; type differs,
node/2923599549,Dariyar Shere Primary Health Centre,PHC,0cd5e232-b12a-4b26-88ff-bb6b7129c908,Dariyar Shere Health Post,HEALTH_POST,Doguwa,0.9824,match,1.0,0.9986,0.002,False,name 100%; 0.0 km apart; type differs,
node/2925699884,Bargoni Health Post,HEALTH_POST,7d592a2e-9161-45be-81bf-217e7702d5e1,Bargoni Health Post,HEALTH_POST,Kiru,0.9824,match,1.0,0.9996,0.001,True,name 100%; 0.0 km apart; type match,
node/2925699889,Gazan Health Post,HEALTH_POST,c55365fd-5de9-475d-8afd-035ad8b636cd,Gazan Health Post,HEALTH_POST,Kiru,0.9824,match,1.0,0.999,0.002,True,name 100%; 0.0 km apart; type match,
node/2925701101,Unguwar Turaki Health Post,HEALTH_POST,b07b3c08-c99b-439f-83df-577e96592937,Unguwar Turaki Health Post,HEALTH_POST,Kabo,0.9824,match,1.0,0.9993,0.001,True,name 100%; 0.0 km apart; type match,
node/2925757204,Maraku Health Post,HEALTH_POST,386a5381-d0d4-4e6b-a0ac-60119966e0fa,Maraku Health Post,HEALTH_POST,Kiru,0.9824,match,1.0,0.9992,0.001,True,name 100%; 0.0 km apart; type match,
node/2925837271,Rufai Health Post,HEALTH_POST,ee2a47af-440a-433b-9ee1-3baa2b6670dd,Rufai Health Post,HEALTH_POST,Doguwa,0.9824,match,1.0,0.9991,0.001,True,name 100%; 0.0 km apart; type match,
