osm_id,name,operator,brand,lat,lon,capacity
4378097298,,Charge Your Car,,53.8062606,-1.5529199,2
5229164858,Rolec,Rolec,,53.7979388,-1.5776137,2
5597269702,Leeds-Whitehouse Street Supercharger,Tesla,Tesla Supercharger,53.7845381,-1.5324287,8
7742495074,Genie Point,GeniePoint,,53.787131,-1.5341038,2
8176160673,Polar,,,53.7951148,-1.5528351,
8176265153,Crowne Plaza Leeds,Chargemaster,,53.7968584,-1.558462,4
8176265154,Pod Point,Pod Point,Pod Point,53.7949874,-1.5447174,4
8176265155,LiFE,,,53.7980529,-1.5460075,2
8176265156,Polar,,,53.7919316,-1.5437818,2
8176265157,,,,53.7871264,-1.5400234,2
8861448249,,InstaVolt,,53.8057048,-1.5050538,2
9859254884,,GARO,,53.797948,-1.5731617,8
11099908071,,Pod Point,,53.8232512,-1.5104508,3
11105993761,,,,53.8070367,-1.5063279,2
11759089392,,,Pod Point,53.7924341,-1.55259,2
11759089393,,,Pod Point,53.7924467,-1.5526691,2
