id,name,alternate_name,category,lga,ward_code,lon,lat
619cc234-1efd-4132-ac66-74db3597f339,Abudu General Hospital,,General Hospital,Orhionmwon,EDSABD11,6.02039000000002,6.29418000000004
4a7af38f-8136-4114-88f5-6b0347c5f065,Aigbodun Clinic and Maternity,,Maternity Home,Orhionmwon,EDSABD11,6.0266900000000305,6.28973000000002
b558ef20-1263-4280-a3f8-0c9e326b0a7e,Abudu Hospital,Abudu 1st Care And Medical Center,Private Non Profit,Orhionmwon,EDSABD11,6.031650578234496,6.294533465398371
9b559192-5162-46fe-9eb7-c451d83eb5d7,Oloten Primary Health Center,,Primary Health Center,Orhionmwon,EDSABD11,6.038736080356632,6.2898847850409885
ca82fd83-f6ee-4018-babf-72d8a4cc01c5,Oheze Naka Primary Health Center,,Primary Health Center,Orhionmwon,EDSABD12,6.0210597590689945,6.203153457404107
3c071c98-1fad-4b7a-9663-2d31576b02aa,Dekins First Trinity Clinic,,Primary Health Center,Orhionmwon,EDSABD11,6.0283203130000516,6.295715332000043
ff0f35dc-116a-491f-a3ee-91647e2cedfe,Evbobanosa Primary Health Center,,Primary Health Center,Orhionmwon,EDSABD11,5.98327636700003,6.292907714000023
205afd7b-d9c6-44bb-bd4f-2ab69b890a73,Ebudin Primary Health Center,,Primary Health Center,Esan Central,EDSRRU05,6.16997354458597,6.58958424276198
fc3d0748-19a8-4b9e-8ddb-781e34518023,Imiegba Primary Health Center,,Primary Health Center,Etsako West,EDSAUC08,6.306492,7.098046999999999
27bda8b8-e2e4-48b6-bcef-7149add34339,Okokhuo Primary Health Center,,Primary Health Center,Ovia North-East,EDSAKA05,5.603252999999999,6.584305
47cf7e05-a409-4e84-9980-ae03f0948235,Osas Nursing and Maternity Home,Osasu Nursing And Maternity Home Ugbekun,Maternity Home,Ikpoba-Okha,EDSDGE01,5.69171142600004,6.348693848000039
b7b31a4e-71be-443d-8b27-e3fcd33fe2d0,Okalo Primary Health Center,,Primary Health Center,Iguegben,EDSGUE06,6.2329101560000595,6.509704590000069
054c8033-9a47-4d14-a813-67cf47363766,Godscare Clinic,,Primary Health Center,Egor,EDSUSL09,5.584211000000001,6.348271
d2450482-cecb-4145-9490-42c8def8ec14,Eror Primary Health Center,,Primary Health Center,Esan North-East,EDSURM08,6.31883032860026,6.723875390461141
bad0652c-cb2d-4c14-bec0-0cafe7a7805d,Okhashie Primary Health Center,Primary Health Center Okhashie,Primary Health Center,Etsako East,EDSAGD03,6.324097000000001,7.290938000000001
d9ab1a63-42f1-4e02-96f4-b2475b4afe3e,Evbas Oghogho Nursing Maternity Home,,Maternity Home,Ikpoba-Okha,EDSDGE06,5.65710449200003,6.32647705100004
bd45e4e9-548e-4bf3-9dc0-0d3e6251c8af,St James Clinic and Maternity,,Maternity Home,Egor,EDSUSL09,5.58288574200003,6.36627197200005
60e4bbbc-9055-4244-b7be-b41b3f610fb0,Regina Memorial Maternityuromi,,Maternity Home,Esan North-East,EDSURM03,6.331115723000039,6.7075195310000595
c6398d72-f98a-46da-bc7a-12ba99ce2b4b,Ohize Medical Center,,Medical Center,Ikpoba-Okha,EDSDGE04,5.644470215000069,6.34069824200003
5ccd6710-1e77-4dde-857a-33f62c81dd32,Universal Medical Laboratories,,Primary Health Center,Oredo,EDSBEN01,5.63452148500005,6.342102050000051
f22cec0e-6c98-481b-92a0-9fa52f7f24a0,Idiakor Midical Center,,Primary Health Center,Ikpoba-Okha,EDSDGE10,5.65069580100004,6.29968261700003
40a33756-3913-40c1-bc0f-a6168ff6db94,Orakx Medical,Nosuyi Maternity,Primary Health Center,Egor,EDSUSL06,5.59851074200003,6.370300293000071
6e574872-6fe9-492d-b1f5-ab7233cb624c,Odighi Health Center,,Primary Health Center,Ovia North-East,EDSAKA04,5.762878418000071,6.63647461000005
f8a75736-71ff-4144-bbb4-524235c92ca6,Winners Medical Center,,Medical Center,Etsako West,EDSAUC02,6.26452636700003,7.069519043000071
f0a67c69-04ca-489c-8c66-e281804b81dd,Erhuru Uneme Primary Health Centen,Primary Health Center Eruhurun,Primary Health Center,Akoko-Edo,EDSGAR08,6.25671386700003,7.282287598000039
09371eb1-655f-46ee-9ee7-19d16ef33333,Ikran Ile Primary Health Center,,Primary Health Center,Akoko-Edo,EDSGAR06,6.017744385447671,7.414591817927809
df7e5d4d-eafa-4647-8a34-0b509e80859d,Christway Medical Center,,Private Non Profit,Ikpoba-Okha,EDSDGE06,5.6336656304494905,6.3215561463166505
d3f957b6-a426-49d4-a8a2-687fa41b7fae,Agua Primary Health Center,,Primary Health Center,Esan Central,EDSRRU10,6.23227,6.75877
3c11bd80-fb53-4a8a-a5a5-acfa75685394,Boboroku Primary Health Center,,Primary Health Center,Orhionmwon,EDSABD05,5.897031666999999,5.799511667
e0485e7f-ea11-4282-bd73-0ba7e45abdf3,Iguefole Primary Health Center,,Primary Health Center,Ovia South-West,EDSGBZ06,5.337274999999999,6.446011666999999
a4b9d87f-18d0-4a39-a3be-3186d2c1e3c4,Epid Unit,,Primary Health Center,Oredo,EDSBEN04,5.620773333,6.3334716669999995
ffb24a03-b6a8-4d0d-af15-ed4fc2247966,Ukpenu Primary Health Center,,Primary Health Center,Esan West,EDSEKP10,6.133744299999999,6.742435699999999
ef91db21-bbae-4b15-9a2d-597a9f16c25e,Army Barracks,,Primary Health Center,Etsako East,EDSAGD02,6.670216667,7.101515
1b55dc55-0874-4610-8cc8-e6def411b7a5,Ekosodin Health Center,,Primary Health Center,Egor,EDSUSL10,5.62786142,6.412632089999999
5f09aa94-d1dc-4068-b882-db8e9b70d4f4,Ovbiogie,,Primary Health Center,Ovia North-East,EDSAKA11,5.586803949999999,6.4769612599999995
68810de1-adf6-4471-862d-92189f4a25ef,Uniben Health Center,,Primary Health Center,Oredo,EDSBEN04,5.599115,6.333983332999999
9085d6e6-2a6a-4419-8b31-a6c9b59ade53,Obagie Primary Health Center,,Primary Health Center,Ikpoba-Okha,EDSDGE07,5.607486667,6.207918333
2330a070-6dc9-464e-9bb1-9001986c7e71,Amofi Primary Health Center,,Primary Health Center,Uhunmwonde,EDSEHR07,5.7232199999999995,6.357645
72bf2d52-e540-40fd-9f26-c23d5147fc14,Military Hospital,,Primary Health Center,Oredo,EDSBEN07,5.609474999999999,6.31718
d5ccc3b0-f935-4111-bc5a-54004e38c992,Oko Primary Health Center,,Primary Health Center,Oredo,EDSBEN07,5.588199999999999,6.293679999999999
123afc81-df8b-409a-8b31-d175db803602,Ogiriga Primary Health Center,,Primary Health Center,Etsako East,EDSAGD09,6.39882,7.280785
698ef85e-5bee-4aec-9bba-868341024856,Ibhiolulu Health Center,,Primary Health Center,Esan North-East,EDSURM05,6.3495918,6.7210926
074848b4-1a20-48bb-88ad-61745786cfd4,Eguare Primary Health Center 1,,Primary Health Center,Esan South-East,EDSUBJ07,6.455658333,6.734891667
a420d19a-d7d2-468e-a515-f6580bd42b1a,Iguiye Primary Health Center,,Primary Health Center,Ovia North-East,EDSAKA06,5.500094,6.56451565
8b84c827-99b5-49f7-8c84-c0ffc8b5d001,Ebudin Primary Health Center,,Primary Health Center,Esan West,EDSEKP01,6.2206131,6.5182887
1c471269-f865-45de-a867-4cc126e6270b,Okoro Primary Health Center,,Primary Health Center,Ovia South-West,EDSGBZ09,5.328158333,6.704208333
7bb432d5-e246-45e6-ace4-44f153ddefaf,Iguatakpa,,Primary Health Center,Ovia South-West,EDSGBZ03,5.286281667,6.59274
e7b054a9-fe62-4d0d-8c47-f1ef35992719,Odighi Primary Health Center,,Primary Health Center,Ovia North-East,EDSAKA04,5.765731489999999,6.644068329999999
832d03f4-71d5-499d-8fe0-5d47fb2465f5,Unogbo Primary Health Care Center,,Primary Health Center,Esan Central,EDSRRU10,6.2582701,6.7623099
520bc2b9-ff2a-4228-be80-65ef6d564286,Iguogie Primary Health Center,,Primary Health Center,Ovia North-East,EDSAKA13,5.52656054,6.34730425
c9029870-802f-4d56-bfee-ef84bba8d4af,Central Hospital Auchi,,Primary Health Center,Etsako West,EDSAUC05,6.258586667,7.073253333
190234fa-48d6-4282-81bc-d37f31998981,Ogida 1 Primary Health Center,,Primary Health Center,Egor,EDSUSL09,5.59402,6.358538332999999
0aff4623-9080-4de8-9843-8ef54c108948,Egbeghre Out Primary Health Center,,Primary Health Center,Akoko-Edo,EDSGAR03,6.181761399999999,7.1445208
47049f0a-49cc-4862-959b-e5c05ced562a,Ubiaja Primary Health Center,,Primary Health Center,Esan South-East,EDSUBJ04,6.38448,6.65573
cdae2303-852d-4c8f-8495-6356aae0f09e,Ake Primary Health Center,,Primary Health Center,Owan East,EDSAFZ06,6.02352,7.15808
7832e2ee-0c99-4fab-9297-f33dfe8b1694,Uhen Primary Health Care Center,,Primary Health Center,Ovia North-East,EDSAKA07,5.54036,6.76727
5466d0a4-e05b-4166-b3b4-e9982b8fe94c,Iddo Primary Health Center,,Primary Health Center,Etsako East,EDSAGD06,6.34188,7.25959
e74bc206-aa86-406c-81e8-72aadaf0c927,Odame Primary Health Center Odame,,Primary Health Center,Etsako Central,EDSFUG06,6.37217,6.98319
7ef7cffd-fdb0-4955-a5ea-3fc8b55a8b12,Opoji Primary Health Center,,Primary Health Center,Esan Central,EDSRRU02,6.19674,6.69693
5201c76a-8ef6-4760-9003-d9d951b90882,Illushi Primary Health Center,,Primary Health Center,Esan South-East,EDSUBJ09,6.61832,6.67
100a6309-c9a4-473b-9af2-ef83b43184e4,Ewato Primary Health Center,,Primary Health Center,Esan South-East,EDSUBJ02,6.35423,6.51634
7204dd1d-670a-407f-98ad-00c0c21b5434,Okpekpe Primary Health Center,,Primary Health Center,Etsako East,EDSAGD07,6.46672,7.19826
6e7f9c04-d5a3-4874-b2be-d74ba42d7164,Ididigba Health Center,,Primary Health Center,Esan Central,EDSRRU03,6.23822,6.70479
f2deb8a9-924c-4eff-b76c-93ead14cc112,Arua Primary Health Center,,Primary Health Center,Etsako Central,EDSFUG03,6.49464,7.09842
dfbeac3e-871a-48f2-88ca-f81e500c2e20,Aforbakhire Primary Health Center,,Primary Health Center,Owan East,EDSAFZ03,6.17081,7.00129
a2dcf7b8-12f6-4cbb-81cb-98b6c8557e0f,Ehidenu Primary Health Care,,Primary Health Center,Esan Central,EDSRRU10,6.2571,6.76596
b5fa9242-28b5-4370-ab45-1415ef1e8baf,Omokweme Primary Health Center,,Primary Health Center,Etsako East,EDSAGD06,6.34312,7.27044
699f9348-cc08-4e60-af53-1d0f96be8078,Iguovbmhanmwen Primary Health Care Center,,Primary Health Center,Uhunmwonde,EDSEHR07,5.84941,6.49526
487632f2-b277-48d0-9a42-868b1848efa5,Okomu Village Health Center,Okomu Clinic,Primary Health Center,Ovia South-West,EDSGBZ07,5.10896,6.26765
f78e5f94-7755-4713-9ca8-8d092d0038e4,New Opoji Health Center,,Primary Health Center,Esan Central,EDSRRU02,6.20169,6.69478
919d2728-0309-4af0-9bb9-147e27e8f5d4,Igogogin Primary Health Care,,Primary Health Center,Oredo,EDSBEN07,5.54622,6.16479
1ca1c743-50e7-41a3-9354-0160e29c677e,Uhiere Primary Health Care,,Primary Health Center,Ovia North-East,EDSAKA04,5.78635,6.72993
e1b7b358-503f-40b3-a03d-20cae067f91e,Utagban Primary Health Care,,Primary Health Center,Oredo,EDSBEN07,5.56485,6.29375
81af18b0-dd08-44fb-88b1-a6c20f1e5a76,Etete Primary Health Center,,Primary Health Center,Ikpoba-Okha,EDSDGE09,5.63218,6.29439
5a8cfdf4-8d99-4c38-a41b-a0adaee53ff5,Oduna Primary Health Care,,Primary Health Center,Ovia North-East,EDSAKA03,5.43872,6.21579
