id,name,alternate_name,category,lga,ward_code,lon,lat
dc93d631-abb5-46a9-958e-a36aca4a9123,Sajiyan Basic Health Center,,Primary Health Center,Owo,ODSOWO11,5.44311523500005,7.23327636700003
1a25b3b8-aee0-4b72-92a6-123d2149c5d0,Aratundin Basic Health Center,,Primary Health Center,Ondo West,ODSOWT05,4.75671386700003,7.093688965000069
1480bb0e-cdeb-4bd8-92b8-cd7d897288ae,Mobire Basic Health Center,,Primary Health Center,Ile Oluji/Okeigbo,ODSIOU07,4.80767822200005,7.214477539000029
fb72f90b-2b01-4002-a97b-77b2e0ae08ac,Model Health Center Ajagba,,Primary Health Center,Ese Odo,ODSESO04,4.921102,6.423212
c3296da8-9c23-4513-b92d-62143a062693,Oniparanta Health Clinic,,Primary Health Center,Odigbo,ODSODI03,4.4165039060000595,6.680725098000039
bf10528a-0711-49ec-8986-9c6b276732e8,Ala Goke Health Center,,Primary Health Center,Akure South,ODSAKS07,5.356958,7.094164
4137869a-2d38-4a34-8450-69bc5f6a239a,Ebute Health Center,,Primary Health Center,Okitipupa,ODSPUP12,4.790268,6.507731
25468ae8-2938-488c-a2eb-cfe163553bee,Moni Clinic,,Primary Health Center,Akoko North West,ODSANW08,5.710876465000069,7.57312011700003
126aa21a-ba60-4fdc-ad58-b8895f2c378d,Omifun Basic Health Center,,Primary Health Center,Ondo East,ODSOET04,4.973693848000039,7.137878418000071
25cc452b-efa2-464e-99d8-33e5a49873e7,Ode Aye Health Clinic,,Primary Health Center,Okitipupa,ODSPUP10,4.737487793000071,6.59069824200003
00c8dac9-b161-4d75-af5f-f110c4aa2685,Idiogba Basic Health Center,,Primary Health Center,Ilaje,ODSIAE07,4.78350830100004,6.109497071000021
08ed7acc-fd1d-4e90-9b28-c6e5e00df42a,Abe Alala Basic Health Center,,Primary Health Center,Ilaje,ODSIAE04,4.668090821000021,6.210693359000061
f3c2a1f9-6ec2-4b31-b04a-0ee76c60ccf3,Akinbola Dispensary,,Dispensary,Okitipupa,ODSPUP07,4.628112793000071,6.527282715000069
