id,name,amenity,healthcare,lga,lat,lon
node/2923098159,Tsara Primary Health Centre,hospital,,Rogo,11.4507448,7.7276659
node/2923263866,Dayaso Health Post,hospital,,Rogo,11.5159251,7.7354815
node/2923263867,Fulatan Primary Health Centre,hospital,,Rogo,11.400621,7.8588881
node/2923263868,Gwangwan Primary Health Centre,hospital,,Rogo,11.4870724,7.7472255
node/2923263869,Hago Primary Health Centre,hospital,,Rogo,11.4799185,7.8311742
node/2923263870,Ruwan Bago Health Post,hospital,,Rogo,11.4071835,7.7574532
node/2923263871,Sundu Health Post,hospital,,Rogo,11.3806332,7.7615261
node/2923263872,Tudun Magaji Health Post,hospital,,Rogo,11.4528744,7.7818216
node/2923263873,Unguwar Liman Health Post,hospital,,Rogo,11.4050538,7.7436668
node/2923263874,Unguwar Malam Amadu Health Post,hospital,,Rogo,11.4932289,7.7720426
node/2923263875,Zarewa Primary Health Centre,hospital,,Rogo,11.3970316,7.8119881
node/2923366077,Bari Primary Health Centre,hospital,,Rogo,11.5683198,7.7511988
node/2923366078,Kaleku Health Post,hospital,,Rogo,11.6249586,7.883484
node/2923366079,Karshi Health Post,hospital,,Rogo,11.54124,7.825976
node/2923366080,Kauyen Liman Health Post,hospital,,Rogo,11.5426114,7.820641
node/2923366081,Rogo General Hospital,hospital,,Rogo,11.5526616,7.8308789
node/2923366082,Tsohuwar Rogo Health Post,hospital,,Rogo,11.574668,7.799462
node/2923366083,Zoza Health Post,hospital,,Rogo,11.6274485,7.8718061
node/2923485903,Ba'Awa Health Post,hospital,,Kiru,11.5984067,7.9871577
node/2923485905,Jajaye Primary Health Centre,hospital,,Rogo,11.5567689,7.9357513
node/2923485907,Maska Health Post,hospital,,Kiru,11.5945109,8.0809388
node/2923512474,Sagondare Health Post,hospital,,Rogo,11.4800424,7.9547419
node/2923512475,Yanoko Primary Health Centre,hospital,,Rogo,11.4558949,7.9180823
node/2923573774,Dalal Health Post,hospital,,Gwarzo,11.8351422,7.9491289
node/2923573776,Dambazau Health Post,hospital,,Karaye,11.8114536,8.0292982
