state,decision_id,decision,score,distinctive_max,distance_km,grid3_id,grid3_code,grid3_name,grid3_admin_path,hfr_id,hfr_code,hfr_name,hfr_admin_path,evidence,review_outcome,reviewer,reviewed_at,reason
Edo,xwd:sha256:0027623667a6f82ab87aae580e4d65df6e0a542c4f80c23e4e108b37bcce44b7,match,0.8312,0.86,0.0,grid3:7dfc4755-d4e1-4696-8469-c86ae9785543,12/17/1/1/1/0028,Ikpeyan Primary Health Center,"{""admin1"": ""Edo"", ""admin2"": ""Owan West"", ""settlement"": ""Okpuje""}",hfr:7dfc4755-d4e1-4696-8469-c86ae9785543,7dfc4755-d4e1-4696-8469-c86ae9785543,Ikpeyan Health Center,"{""admin1"": ""Edo"", ""admin2"": ""Owan West"", ""settlement"": ""EDSSGD10""}","{""admin_path"": 0.6, ""distance_km"": 0.0, ""geo"": 1.0, ""name"": 0.888, ""name_tftoken"": 0.806, ""name_type"": 1.0}",,,,
Edo,xwd:sha256:01432c234d5b958079b019044bbf57c1269bcb7d28952043e8d9df1cfd62ccfe,match,0.9333,1.0,0.0,grid3:7bb37cdf-e26d-4367-8e09-35d39a626feb,12/16/1/1/1/0054,Ikhin Primary Health Center,"{""admin1"": ""Edo"", ""admin2"": ""Owan East"", ""settlement"": ""4 Bimion""}",hfr:7bb37cdf-e26d-4367-8e09-35d39a626feb,7bb37cdf-e26d-4367-8e09-35d39a626feb,Ikhin Primary Health Center,"{""admin1"": ""Edo"", ""admin2"": ""Owan East"", ""settlement"": ""EDSAFZ10""}","{""admin_path"": 0.6, ""distance_km"": 0.0, ""geo"": 1.0, ""name"": 1.0, ""name_tftoken"": 1.0, ""name_type"": 1.0}",,,,
Edo,xwd:sha256:01a3d40fdf39a0e9bd9841392943f37a458fc2b65cf1d7e381ec3c629ce1689f,match,0.7084,0.86,0.27,grid3:4e0992cf-bacb-442a-9e24-31fe0d93a6da,12/16/1/1/1/0056,Ohanmi Primary Health Center,"{""admin1"": ""Edo"", ""admin2"": ""Owan East"", ""settlement"": ""4 Bimion""}",hfr:da6e8622-1425-475f-8519-df9c8cb95f4f,da6e8622-1425-475f-8519-df9c8cb95f4f,Ohami Primary Health Center,"{""admin1"": ""Edo"", ""admin2"": ""Owan East"", ""settlement"": ""EDSAFZ10""}","{""admin_path"": 0.6, ""distance_km"": 0.27, ""geo"": 0.914, ""name"": 0.992, ""name_tftoken"": 0.377, ""name_type"": 1.0}",,,,
Edo,xwd:sha256:021c45f1bd9f6979bc1fe6ddf4fb80a7b616550710f0e9c93c09d20311930f4e,match,0.9333,1.0,0.0,grid3:fea9b58b-bd9e-45f4-aa1d-fcc90590b7f9,12/04/1/1/1/0004,Efandion Primary Health Center,"{""admin1"": ""Edo"", ""admin2"": ""Esan North-East"", ""settlement"": ""Efandion""}",hfr:fea9b58b-bd9e-45f4-aa1d-fcc90590b7f9,fea9b58b-bd9e-45f4-aa1d-fcc90590b7f9,Efandion Primary Health Center,"{""admin1"": ""Edo"", ""admin2"": ""Esan North-East"", ""settlement"": ""EDSURM06""}","{""admin_path"": 0.6, ""distance_km"": 0.0, ""geo"": 1.0, ""name"": 1.0, ""name_tftoken"": 1.0, ""name_type"": 1.0}",,,,
Edo,xwd:sha256:021d4e304dc1fedb5cb92402e0d94a1ef180586a2b274b6e0d59e5e2816dd10b,match,0.7039,0.938,1.42,grid3:81dc2cec-e8b9-4503-b2bb-ed1eaf320b13,12/17/1/1/1/0040,Ukhuse Oke Primary Health Center,"{""admin1"": ""Edo"", ""admin2"": ""Owan West"", ""settlement"": ""Ogbagun/Iloje""}",hfr:b7d3c1cc-6860-4bd9-8a85-071e531e10a0,b7d3c1cc-6860-4bd9-8a85-071e531e10a0,Ukhuse Osi Primary Health Center,"{""admin1"": ""Edo"", ""admin2"": ""Owan West"", ""settlement"": ""EDSSGD07""}","{""admin_path"": 0.6, ""distance_km"": 1.42, ""geo"": 0.624, ""name"": 0.938, ""name_tftoken"": 0.563, ""name_type"": 1.0}",,,,
Edo,xwd:sha256:023b592b4bc40f1b1813a300608aeb3199627b2a16542f69bbca69500b5d6275,match,0.9333,0.86,0.0,grid3:2cec0252-bd47-43fe-a906-b13d977c03e4,12/12/1/1/2/0112,Ariowa Clinic,"{""admin1"": ""Edo"", ""admin2"": ""Oredo"", ""settlement"": ""Oredo 4""}",hfr:2cec0252-bd47-43fe-a906-b13d977c03e4,2cec0252-bd47-43fe-a906-b13d977c03e4,Ariowa Clinic,"{""admin1"": ""Edo"", ""admin2"": ""Oredo"", ""settlement"": ""EDSBEN06""}","{""admin_path"": 0.6, ""distance_km"": 0.0, ""geo"": 1.0, ""name"": 1.0, ""name_tftoken"": 1.0, ""name_type"": 1.0}",,,,
Edo,xwd:sha256:0283163ec1511f22081ad28d4f9c4c6277824da89458fe6e3f230971d2d36858,match,0.8643,0.947,0.0,grid3:eae4c253-3417-47de-bc4c-a2f5f803e3d5,12/12/1/2/2/0010,Time Medical Clinic Maternity,"{""admin1"": ""Edo"", ""admin2"": ""Oredo"", ""settlement"": ""Oredo 3""}",hfr:eae4c253-3417-47de-bc4c-a2f5f803e3d5,eae4c253-3417-47de-bc4c-a2f5f803e3d5,Time Medical Clinic and Maternity,"{""admin1"": ""Edo"", ""admin2"": ""Oredo"", ""settlement"": ""EDSBEN11""}","{""admin_path"": 0.6, ""distance_km"": 0.0, ""geo"": 1.0, ""name"": 0.955, ""name_phrase"": ""time medical"", ""name_phrase_rarity"": 0.947, ""name_tftoken"": 0.838, ""name_type"": 1.0}",,,,
Edo,xwd:sha256:02ec17e698a274c7df9852d473b6a354dbeb9f5dd08381ce837bb616b274cf1e,match,0.9333,0.86,0.0,grid3:a90ccec1-7f54-4930-9d73-dc772d396fdc,12/16/1/1/1/0034,Arokho Primary Health Center,"{""admin1"": ""Edo"", ""admin2"": ""Owan East"", ""settlement"": ""4 Bimion""}",hfr:a90ccec1-7f54-4930-9d73-dc772d396fdc,a90ccec1-7f54-4930-9d73-dc772d396fdc,Arokho Primary Health Center,"{""admin1"": ""Edo"", ""admin2"": ""Owan East"", ""settlement"": ""EDSAFZ10""}","{""admin_path"": 0.6, ""distance_km"": 0.0, ""geo"": 1.0, ""name"": 1.0, ""name_tftoken"": 1.0, ""name_type"": 1.0}",,,,
Edo,xwd:sha256:02ff3142e7cb0ac877080248312ac305b4f4cda7aac1eba9cd1237f27642fc73,match,0.9333,0.86,0.0,grid3:d18fea90-424f-469a-a0f0-88428831194c,12/01/1/1/1/0037,Ugbogbo Primary Health Center,"{""admin1"": ""Edo"", ""admin2"": ""Akoko-Edo"", ""settlement"": ""Ugbogbo""}",hfr:d18fea90-424f-469a-a0f0-88428831194c,d18fea90-424f-469a-a0f0-88428831194c,Ugbogbo Primary Health Center,"{""admin1"": ""Edo"", ""admin2"": ""Akoko-Edo"", ""settlement"": ""EDSGAR01""}","{""admin_path"": 0.6, ""distance_km"": 0.0, ""geo"": 1.0, ""name"": 1.0, ""name_tftoken"": 1.0, ""name_type"": 1.0}",,,,
Edo,xwd:sha256:0305b6696304fa33393a580b9ad1eb243c41e8cac33a4b095744b4961149d745,match,0.9333,0.976,0.0,grid3:bae5e40f-23fb-4432-bf87-c46ac9eed916,12/05/1/1/1/0007,Okhuesan Primary Health Center,"{""admin1"": ""Edo"", ""admin2"": ""Esan South-East"", ""settlement"": ""Emu""}",hfr:bae5e40f-23fb-4432-bf87-c46ac9eed916,bae5e40f-23fb-4432-bf87-c46ac9eed916,Okhuesan Primary Health Center,"{""admin1"": ""Edo"", ""admin2"": ""Esan South-East"", ""settlement"": ""EDSUBJ05""}","{""admin_path"": 0.6, ""distance_km"": 0.0, ""geo"": 1.0, ""name"": 1.0, ""name_tftoken"": 1.0, ""name_type"": 1.0}",,,,
