osm_id,osm_type,name,operator,lat,lon,wikidata
289563831,node,Bridge Lane Health Centre,,51.473268,-0.166317,
296563324,node,British Home & Hospital for Incurables,,51.423089,-0.107068,
1131534975,node,Queen Mary's Childrens' Hospital,,51.379798,-0.184842,
1971677516,node,Chapel Orchard Day Surgery,,51.402049,-0.171537,
5355643300,node,Leatherhead Clinic,,51.295826,-0.319531,
9294597166,node,Cobham Day Surgery,Epsomedical,51.334761,-0.407903,
10716500404,node,SpaMedica Epsom,SpaMedica,51.336107,-0.26185,
10995777570,node,Sexual Health Clinic,Croydon University Hospital,51.391181,-0.11231,
10995777571,node,Macmillan Cancer Support Centres,Croydon University Hospital,51.389544,-0.11159,
10995801768,node,Main Reception,Croydon University Hospital,51.389253,-0.111157,
10995804162,node,Patient Advice and Liaison Service (PALS),Croydon University Hospital,51.388644,-0.108499,
10995804163,node,Maternity Reception,Croydon University Hospital,51.391293,-0.111059,
10995804164,node,Fertility Treatment,,51.391148,-0.110279,
10995804171,node,Gynaecology Department,Croydon University Hospital,51.390515,-0.109361,
10995804179,node,Women's Health Unit,Croydon University Hospital,51.390933,-0.111065,
10995804180,node,Croydon Heart Centre,,51.3887,-0.11113,
10995804184,node,Dental Department,Croydon University Hospital,51.39027,-0.109744,
10995804185,node,Dermatology Department,Croydon University Hospital,51.390485,-0.109961,
10995804186,node,Diabetic Department,Croydon University Hospital,51.388698,-0.108209,
10995804187,node,MRI,Croydon University Hospital,51.38883,-0.10883,
10995804195,node,Main X-Ray,Croydon University Hospital,51.389109,-0.108793,
10995804196,node,Vascular Ultrasound,Croydon University Hospital,51.389162,-0.110344,
10995804197,node,Wound Clinic,Croydon University Hospital,51.389095,-0.110259,
10995804198,node,Moorfields Eye Unit,Croydon University Hospital,51.389307,-0.109984,
10995804199,node,The Willows (Children's Clinic),Croydon University Hospital,51.389144,-0.109738,
10995804200,node,Day Surgery Unit (DSU),Croydon University Hospital,51.389866,-0.110707,
10995811829,node,Emergency Department,Croydon University Hospital,51.388702,-0.109257,
11170258999,node,King's College Hospital Emergency Department,,51.468759,-0.092795,
12026398668,node,Dental Hospital,,51.469123,-0.092711,
12313941685,node,Hounslow Medical Centre,,51.469439,-0.377273,
4356408,way,The Wilson Hospital,NHS,51.39751,-0.163146,
4536914,way,St George's Hospital,St George's University Hospitals NHS Foundation Trust,51.426442,-0.175207,Q3495316
4822314,way,St. Helier Hospital,Epsom and St Helier University Hospitals NHS Trust,51.380377,-0.184577,Q7593367
4907493,way,Barnes Hospital,,51.467206,-0.255859,Q16983704
20184882,way,Ashford Hospital,Ashford and St. Peter's Hospitals NHS Foundation Trust,51.444385,-0.473373,Q30292831
23088561,way,Tolworth Hospital,NHS,51.379491,-0.289191,Q30292891
23109454,way,Kingston Hospital,,51.414916,-0.282685,Q50517755
24525110,way,St Anthony's,,51.379898,-0.220726,Q16900532
24787431,way,Lambeth Hospital,,51.465331,-0.122496,Q6481446
26617656,way,Croydon University Hospital,,51.390124,-0.110056,Q5189706
26730443,way,West Middlesex Hospital,,51.473078,-0.32441,Q7985920
27219238,way,Norbury Health Centre,,51.404985,-0.120361,
28834809,way,Bourne Hall Health Centre,,51.351272,-0.25253,
35781504,way,Queen Mary's Hospital,,51.454971,-0.241604,Q7270446
85472872,way,Royal Brompton Hospital,Guy's and St Thomas' NHS Foundation Trust,51.489166,-0.170971,Q7373850
85472885,way,The Royal Marsden Hospital,,51.490573,-0.172546,Q7761706
111343934,way,Lister Hospital,,51.486423,-0.150183,Q6646489
136939614,way,Ashtead Clinic,,51.31409,-0.303646,
137754985,way,Purley War Memorial Hospital,,51.340567,-0.114802,
142385900,way,Royal Hospital for Neuro-Disability,,51.451981,-0.213927,Q7374301
150470710,way,The Groves Medical Centre,,51.41034,-0.261338,
188617701,way,Charing Cross Hospital,,51.486919,-0.219763,Q4982607
248377711,way,Appleby Care Centre,,51.342996,-0.266649,
277432734,way,King's College Hospital,King's College Hospital NHS Foundation Trust,51.468429,-0.093654,Q1742181
285018126,way,Leatherhead Community Hospital,,51.295237,-0.32002,
289707828,way,Epsom General Hospital,,51.325152,-0.273139,Q2692584
331884029,way,St. Ebba's Hospital,,51.350768,-0.273049,Q7587779
382250707,way,Ashtead Hospital,Bupa,51.304558,-0.303177,
463924137,way,Cassel Hospital,West London NHS Trust,51.432411,-0.309056,Q5049284
839142057,way,Royal Marsden Hospital,,51.344285,-0.191248,
855389355,way,Teddington Memorial Hospital,,51.425694,-0.341094,Q17022101
863316715,way,Nuffield Health Cancer Centre London,,51.433857,-0.223748,
872044524,way,New Victoria Hospital,,51.415762,-0.25418,
881918254,way,Chelsea and Westminster Hospital,,51.484391,-0.18144,Q5090151
888717352,way,Royal Brompton Hospital,,51.489994,-0.17417,Q7373850
1007473437,way,Cobham Community Hospital and Health Centre,,51.334891,-0.408094,
1164672572,way,Springfield University Hospital,NHS,51.436988,-0.170793,
1322377021,way,West Park Hospital,NHS,51.340534,-0.300761,
