osm_id,wd_id
4536914,Q3495316
4822314,Q7593367
4907493,Q16983704
20184882,Q30292831
23088561,Q30292891
23109454,Q50517755
24525110,Q16900532
24787431,Q6481446
26617656,Q5189706
26730443,Q7985920
35781504,Q7270446
85472872,Q7373850
111343934,Q6646489
142385900,Q7374301
188617701,Q4982607
277432734,Q1742181
289707828,Q2692584
331884029,Q7587779
463924137,Q5049284
855389355,Q17022101
881918254,Q5090151
888717352,Q7373850
7954585,Q7270448
29443690,Q30293099
35776498,Q831377
161126146,Q25171377
255439869,Q7270343
484298094,Q14956783
581607863,Q7244808
654480339,Q30293058
713671496,Q23891198
860476845,Q4878645
904874618,Q105376589
1217422518,Q30292829
4211785,Q7592462
4363883,Q5645747
4379364,Q4861607
6134866,Q7060443
7989424,Q7974617
20259708,Q7589963
24414388,Q28404845
24437604,Q5087127
24648544,Q5061433
28226427,Q7374519
31927218,Q5763292
43290805,Q7595036
45388015,Q3495342
47630726,Q6924380
47698729,Q7374518
48915770,Q7996907
80888181,Q16901558
80888190,Q580652
80888195,Q7231952
110476079,Q6671010
112682015,Q60747194
116629214,Q5416238
122227536,Q1143779
164458516,Q30293035
352120259,Q5656797
402012627,Q1946861
440410278,Q3551343
444440630,Q20714162
514349576,Q28404470
548533106,Q1349705
688880323,Q60746347
699934188,Q5908758
818779914,Q7374196
821710065,Q5187669
833201881,Q7739155
912368818,Q7270242
991369947,Q107103988
1390491265,Q3336892
1390491266,Q7374417
4271138,Q7056104
32612277,Q7018154
41378470,Q7993761
43514739,Q19654384
130345641,Q7270013
184154674,Q6851069
413948227,Q6669893
448178927,Q30292861
497718283,Q124749523
640495338,Q7374421
707322577,Q777039
780482089,Q30293120
902050280,Q6411611
