wd_id,name,lat,lon
Q42291401,Poplar Hospital,51.511767,-0.00705
Q55637564,"Western Hospital, Fulham",51.4851,-0.1953
Q55628344,Paddington Green Children's Hospital,51.520922,-0.173642
Q60754036,Princess Louise Hospital,51.5203,-0.2221
Q60747058,"New Cross Hospital, Deptford",51.4791,-0.0517
Q55607704,City of London Maternity Hospital,51.5684,-0.119
Q55613033,Grove Hospital,51.4278,-0.1684
Q55633855,"St Philip's Hospital, Sheffield Street",51.5148,-0.1176
Q60760752,Fulham Hospital,51.4871,-0.2195
Q60763595,St Giles' Hospital,51.4756,-0.0835
Q55099146,Royal Chest Hospital,51.529,-0.093
Q55076711,Banstead Hospital,51.3355,-0.1897
Q60747146,Miller General Hospital,51.475278,-0.021111
Q60754074,Westminster Children's Hospital,51.4925,-0.1366
Q60747278,"St Lawrence's Hospital, Caterham",51.286,-0.0997
Q55633587,South Middlesex Hospital,51.457,-0.3379
Q55621771,Maida Vale Hospital for Nervous Diseases,51.5262,-0.1807
Q55633850,"St Paul's Hospital, Endell Street",51.51485,-0.12479
Q56452151,King George Military Hospital,51.505679,-0.112536
Q60763293,Coppetts Wood Hospital,51.602,-0.1539
Q60754130,Paddington General Hospital,51.5231,-0.1978
Q55605116,Beckenham Hospital,51.405,-0.033
Q7374459,Royal Masonic Hospital,51.4963,-0.241417
Q7969501,Warlingham Park Hospital,51.3181,-0.03117
Q7986168,"West Park Hospital, Epsom",51.3388,-0.3
Q7796687,Thorpe Coombe Hospital,51.5907,-0.0079
Q7374877,"Royal Star and Garter Home, Richmond",51.4502,-0.2974
Q7989168,Westminster Hospital,51.5,-0.1291
Q7270345,Queen Elizabeth Hospital for Children,51.5184,-0.06
Q15137935,Greenwich Hospital,51.483363,-0.006732
Q7593175,"St George's Hospital, Havering",51.5468,0.2186
Q7374602,Royal Northern Hospital,51.5608,-0.123
Q7594991,St Olave's Hospital,51.4967,-0.054167
Q15225199,Hornsey Central Hospital,51.584052,-0.131279
Q7594066,St Luke's Hospital for Lunatics,51.525833,-0.089722
Q7380700,Rush Green Hospital,51.5602,0.1763
Q7968101,Wanstead Hospital,51.5845,0.0264
Q7969496,Warley Hospital,51.6073,0.293
Q7594554,St Mary Abbot's Hospital,51.497676,-0.190909
Q7592832,St Clement's Hospital,51.525833,-0.029444
Q7275394,RAF Hospital Uxbridge,51.5458,-0.471389
Q7568057,South Ockendon Psychiatric Hospital,51.5182,0.3013
Q7270174,Queen Alexandra's Military Hospital,51.492428,-0.127642
Q7374995,Royal Waterloo Hospital for Children and Women,51.505288,-0.113128
Q7567841,South London Hospital for Women and Children,51.4531,-0.146944
Q7618964,Stone House Hospital,51.4455,0.2447
Q7374267,Royal Herbert Hospital,51.4708,0.0507
Q15198238,Belgrave Hospital for Children,51.480753,-0.113147
Q5759378,Highlands Hospital,51.6449,-0.11089
Q3656999,Charlton House,51.4805,0.037155
Q2866638,Friern Hospital,51.614,-0.14839
Q4970070,British Hospital for Mothers and Babies,51.4904,0.05012
Q5532007,General Lying-In Hospital,51.5016,-0.11666
Q4869747,Battersea General Hospital,51.4751,-0.164
Q5416238,Evelina London Children's Hospital,51.498056,-0.118333
Q1742181,King's College Hospital,51.468694,-0.092222
Q4819127,Aubrey House,51.5058,-0.202589
Q3145297,Greenwich District Hospital,51.485278,0.009167
Q5604611,Greentrees Hospital,51.6102,-0.1003
Q5662828,Harold Wood Hospital,51.5925,0.2261
Q3495342,St Mary's Hospital,51.517222,-0.173056
Q4815925,Atkinson Morley Hospital,51.4178,-0.2375
Q4884815,Beltwood House,51.43303,-0.070948
Q5032193,Cane Hill Hospital,51.3128,-0.14906
Q5906871,Horton Hospital,51.343608,-0.282469
Q5222549,Darenth Park Hospital,51.435,0.257778
Q4710038,Albert Dock Seamen's Hospital,51.512,0.03767
Q5130075,Claybury Hospital,51.6031,0.0687
Q4982607,Charing Cross Hospital,51.4871,-0.2195
Q16934164,Northwood and Pinner Cottage Hospital,51.6039,-0.4138
Q16932690,Neasden Hospital,51.55,-0.26
Q16932665,St Andrew's Hospital,51.562,-0.2336
Q15428772,German Hospital,51.5471,-0.0671
Q16841778,Hayes Cottage Hospital,51.5216,-0.4236
Q16932809,Netherne Hospital,51.292408,-0.140556
Q16840254,Grey Towers,51.564,0.213
Q16845030,Hounslow Hospital,51.4679,-0.3733
Q15979198,Normansfield Hospital,51.4202,-0.312561
Q16965316,St Leonard's Hospital,51.5333,-0.0774
Q16932676,St Benedict's Hospital,51.4258,-0.1567
Q20876281,Royal Ear Hospital building,51.5226,-0.1375
Q27087536,Former Annie Mccall Hospital,51.470592,-0.128014
Q22000672,Chiswick Asylum,51.483611,-0.258611
Q25350570,Tite Street Children's Hospital,51.4859,-0.1629
Q28963287,"St James' Hospital, Balham",51.4423,-0.1632
Q26556191,"The Salvation Army Mothers' Hospital, Front Buildings",51.553604,-0.053908
Q777039,Guy's Hospital,51.503333,-0.086944
Q26672415,Bolingbroke Hospital,51.456194,-0.168287
Q28405828,Queen Mary's Hospital for the East End,51.54207,0.00528
Q18392694,St Peter's Hospital,51.511101,-0.124013
Q26355494,Children's Day Hospital,51.490111,-0.115512
Q18708275,"Harlington, Harmondsworth and Cranford Cottage Hospital",51.4896,-0.4482
Q23891199,Brook General Hospital,51.4721,0.0476
Q1628509,Royal Hospital Chelsea,51.486389,-0.157778
Q26656388,"Former Hospital (Building 41), Hounslow Barracks",51.469451,-0.386513
Q27083460,Original Block Of Former St Marks Hospital,51.529843,-0.098993
Q28404469,Highgate Hospital,51.56674,-0.14234
Q22004592,Shenley Hospital,51.694444,-0.292778
Q511360,Elizabeth Garrett Anderson and Obstetric Hospital,51.52804,-0.12965
Q114024224,Royal India Asylum,51.5062,-0.3498
Q18160812,Joyce Green Hospital,51.4636,0.2268
Q20714121,West London Hospital,51.49321,-0.2221
Q27044428,British Lying-In Hospital,51.51485,-0.12479
Q580652,King Edward VII's Hospital,51.520917,-0.150417
Q21585413,St Alfege's Hospital,51.485278,0.009167
Q26665303,Surrey Dispensary,51.497854,-0.091075
Q26532766,Samaritan Hospital For Women,51.520807,-0.163412
Q28405723,"Bexley Hospital, Bexleyheath",51.4571,0.1312
Q28405598,Bexley Hospital,51.4345,0.175
Q5532007,General Lying-In Hospital,51.5016,-0.11666
Q6670366,London Fever Hospital,51.5368,-0.1064
Q5189706,Croydon University Hospital,51.39,-0.11
Q5416238,Evelina London Children's Hospital,51.498056,-0.118333
Q5656797,Harefield Hospital,51.607,-0.483
Q5651415,St Bernard's Hospital,51.5064,-0.3516
Q5604611,Greentrees Hospital,51.6102,-0.1003
Q5383985,Epsom Cluster,51.3437,-0.2833
Q5662828,Harold Wood Hospital,51.5925,0.2261
Q5689722,Headley Court,51.292,-0.278
Q5222549,Darenth Park Hospital,51.435,0.257778
Q5645747,Hammersmith Hospital,51.5163,-0.2369
Q5187669,Cromwell Hospital,51.4949,-0.1914
Q5763292,Hillingdon Hospital,51.525833,-0.461111
Q5130075,Claybury Hospital,51.6031,0.0687
Q134700950,Bermondsey Medical Mission Hospital,51.495261,-0.079416
Q134700889,Alexandra Maternity Home,51.596722,-0.142899
Q5325481,Ealing Hospital,51.506944,-0.345556
Q5450923,Finsbury Health Centre,51.5249,-0.1089
