name_display,name_nfc,name_ascii_key,name_type,countries,languages,sources,source_ids,total_evidence_count,occurrence_count,last_seen_at
Aaron,Aaron,aaron,family,NG,en,wikidata,Q301610,2,2,2026-04-11T03:53:58.817238+00:00
Aba-Afari,Aba-Afari,abaafari,family,GH,en,wikidata,Q133860864,1,1,2026-04-11T03:55:04.900162+00:00
Ababio,Ababio,ababio,family,GH,en,wikidata,Q37469817,3,1,2026-04-11T03:55:04.900162+00:00
Abacha,Abacha,abacha,family,NG,en,wikidata,Q21497697,1,1,2026-04-11T03:53:58.817238+00:00
Abah,Abah,abah,family,GH|NG,en,wikidata,Q71842375,2,2,2026-04-11T03:55:04.900162+00:00
Abakah,Abakah,abakah,family,GH,en,wikidata,Q119556768,1,1,2026-04-11T03:55:04.900162+00:00
Abalo,Abalo,abalo,family,NG,en,wikidata,Q29518390,3,1,2026-04-11T03:53:58.817238+00:00
Abambila,Abambila,abambila,family,GH,en,wikidata,Q117428900,1,1,2026-04-11T03:55:04.900162+00:00
Abang,Abang,abang,family,NG,en,wikidata,Q37546139,3,1,2026-04-11T03:53:58.817238+00:00
Abani,Abani,abani,family,NE|NG,en,wikidata,Q16001344,6,2,2026-04-11T03:59:54.371781+00:00
Abas,Abas,abas,family,NG,en,wikidata,Q83338285,1,1,2026-04-11T03:53:58.817238+00:00
Abasiattai,Abasiattai,abasiattai,family,NG,en,wikidata,Q136405245,2,1,2026-04-11T03:53:58.817238+00:00
Abas (nom de famille),Abas (nom de famille),abasnomdefamille,family,NG,fr,wikidata,Q83338285,1,1,2026-04-11T03:53:58.817238+00:00
Abass,Abass,abass,family,GH|KE|NG,en,wikidata,Q4663552,3,3,2026-04-11T04:01:06.680289+00:00
Abatan,Abatan,abatan,family,NG,en,wikidata,Q116368671,1,1,2026-04-11T03:53:58.817238+00:00
Abate,Abate,abate,family,ET,en,wikidata,Q3603136,1,1,2026-04-11T04:03:51.884736+00:00
Abati,Abati,abati,family,NG,en,wikidata,Q21488069,3,1,2026-04-11T03:53:58.817238+00:00
Abay,Abay,abay,family,ET,en,wikidata,Q4663596,3,1,2026-04-11T04:03:51.884736+00:00
Abayomi,Abayomi,abayomi,family,NG,en,wikidata,Q37470542,3,1,2026-04-11T03:53:58.817238+00:00
Abba,Abba,abba,family,NE|NG,en,wikidata,Q123615501|Q13626005,7,3,2026-04-11T03:59:54.371781+00:00
Abban,Abban,abban,family,GH,en,wikidata,Q37477117,3,1,2026-04-11T03:55:04.900162+00:00
Abbas,Abbas,abbas,family,KE|NG,en,wikidata,Q1158601|Q26772911,7,3,2026-04-11T04:01:06.680289+00:00
Abbasi,Abbasi,abbasi,family,NG,en,wikidata,Q28714072,3,1,2026-04-11T03:53:58.817238+00:00
Abbey,Abbey,abbey,family,GH|NG,en,wikidata,Q4663971,2,2,2026-04-11T03:55:04.900162+00:00
Abdalla,Abdalla,abdalla,family,ER|KE|SO,en,wikidata,Q37011807,9,3,2026-04-11T04:06:05.956447+00:00
Abdallah,Abdallah,abdallah,family,ET|GH|NG|TZ,en,wikidata,Q30090684,12,4,2026-04-11T04:03:51.884736+00:00
Abd al-Qadir,Abd al-Qadir,abdalqadir,family,GH,en,wikidata,Q317520,2,2,2026-04-11T03:55:04.900162+00:00
Abd al-Rahman,Abd al-Rahman,abdalrahman,family,NG,en|fr,wikidata,Q307378,5,3,2026-04-11T03:53:58.817238+00:00
Abd ar-Rahman,Abd ar-Rahman,abdarrahman,family,NG,fr|pt,wikidata,Q307378,4,3,2026-04-11T03:53:58.817238+00:00
Abdarramão,Abdarramão,abdarramao,family,NG,pt,wikidata,Q307378,1,1,2026-04-11T03:53:58.817238+00:00
Abdelgadir,Abdelgadir,abdelgadir,family,GH,en,wikidata,Q317520,1,1,2026-04-11T03:55:04.900162+00:00
Abdelkader,Abdelkader,abdelkader,family,GH,en,wikidata,Q317520,1,1,2026-04-11T03:55:04.900162+00:00
Abdel Rahman,Abdel Rahman,abdelrahman,family,NG,fr|pt,wikidata,Q307378,4,4,2026-04-11T03:53:58.817238+00:00
Abderame,Abderame,abderame,family,NG,fr,wikidata,Q307378,2,2,2026-04-11T03:53:58.817238+00:00
Abderrahman,Abderrahman,abderrahman,family,NG,fr|pt,wikidata,Q307378,3,3,2026-04-11T03:53:58.817238+00:00
Abdi,Abdi,abdi,family,KE|SO,en,wikidata,Q27183271,6,2,2026-04-11T04:05:06.670758+00:00
Abdillahi,Abdillahi,abdillahi,family,SO,en,wikidata,Q37226896,3,1,2026-04-11T04:05:06.670758+00:00
Abdo,Abdo,abdo,family,NE,en,wikidata,Q37232520,2,1,2026-04-11T03:59:54.371781+00:00
Abdou,Abdou,abdou,family,NE,en,wikidata,Q36934083,3,1,2026-04-11T03:59:54.371781+00:00
Abdoulaye,Abdoulaye,abdoulaye,family,NE,en,wikidata,Q37537112,3,1,2026-04-11T03:59:54.371781+00:00
Abdourahamane,Abdourahamane,abdourahamane,family,NG,en,wikidata,Q307378,5,3,2026-04-11T03:53:58.817238+00:00
Abdou-Saleye,Abdou-Saleye,abdousaleye,family,NE,en,wikidata,Q100138569,3,1,2026-04-11T03:59:54.371781+00:00
Abdramane,Abdramane,abdramane,family,NE,en,wikidata,Q121000068,3,1,2026-04-11T03:59:54.371781+00:00
Abdü,Abdü,abdu,family,NG,en,wikidata,Q46994949|Q96593666,9,2,2026-04-11T03:53:58.817238+00:00
Abdul,Abdul,abdul,family,UG,en,wikidata,Q37460168,3,1,2026-04-11T04:02:16.934249+00:00
Abdulahi,Abdulahi,abdulahi,family,ET,en,wikidata,Q37225182,3,1,2026-04-11T04:03:51.884736+00:00
Abdulai,Abdulai,abdulai,family,GH,en,wikidata,Q37523645,3,1,2026-04-11T03:55:04.900162+00:00
Abdulaziz,Abdulaziz,abdulaziz,family,ER|TZ,en,wikidata,Q30093625,6,2,2026-04-11T04:06:05.956447+00:00
Abdulganiyu Salami,Abdulganiyu Salami,abdulganiyusalami,family,NG,en,wikidata,Q118523699,1,1,2026-04-11T03:53:58.817238+00:00
Abdulhameed,Abdulhameed,abdulhameed,family,NG,en,wikidata,Q37551355,6,1,2026-04-11T03:53:58.817238+00:00
Abdulhamid,Abdulhamid,abdulhamid,family,NG,en,wikidata,Q115287622|Q37126868,4,2,2026-04-11T03:53:58.817238+00:00
Abdulkader,Abdulkader,abdulkader,family,GH,en,wikidata,Q317520,1,1,2026-04-11T03:55:04.900162+00:00
Abdulkadir,Abdulkadir,abdulkadir,family,GH|KE|NG|SO,am|en,wikidata,Q20155853|Q317520|Q37497559,11,8,2026-04-11T04:05:06.670758+00:00
Abdulkadir Rasheed,Abdulkadir Rasheed,abdulkadirrasheed,family,KE|NG|SO,en,wikidata,Q37497559,3,3,2026-04-11T04:05:06.670758+00:00
Abdulkareem,Abdulkareem,abdulkareem,family,NG,en,wikidata,Q37005001,3,1,2026-04-11T03:53:58.817238+00:00
Abdulla,Abdulla,abdulla,family,SO,en,wikidata,Q33123391,3,1,2026-04-11T04:05:06.670758+00:00
Abdullah,Abdullah,abdullah,family,NG,en,wikidata,Q37491358,3,1,2026-04-11T03:53:58.817238+00:00
