score,distance_km,osm_name,grid3_name,decision_id
0.8050,11.06,Kauyen Adam Health Post,Kauyen Adam Health Post,xwd:sha256:87429058315a18c2679242265bd5c50e24e9b485a98d14721024d598ad40afc8
0.8044,11.48,Tukuibi Health Post,Tukuibi Health Post,xwd:sha256:c3f535a5f928b75fe96f96f0fd07a0fd77a68d7b5aa5a2f0750ca43f3cff1e79
0.8012,15.44,Kaleku Health Post,Kaleku Health Post,xwd:sha256:7adaedce3da7c4440a391024f38ba9c63dbde237b79e984ae86e3361eebd4f04
0.8007,16.80,Agalawa Health Post,Agalawa Health Post,xwd:sha256:5fbdf6c9e60de4d8c265280fb5996d4e0db0424efab9f9315a113dd395c1eb2b
0.8004,18.77,Jaube Health Post,Jaube Health Post,xwd:sha256:023c057a3d4cffa29a522d14cb05463bf4828fceb1bc46307a74c45076fa968a
0.8004,18.32,Bagadawa Health Post,Bagadawa Health Post,xwd:sha256:de5f4773b6a3aa4a888b4d55a5ed62da16afa450997394b788330235eafc8c4f
0.8003,19.34,Dausayi Health Post,Dausayi Health Post,xwd:sha256:5c2149aca85af4cd25adcba75b84453645a16d3fb05e25680e4013d96d46ef46
0.8002,21.42,Kariya Health Post,Kariya Health Post,xwd:sha256:9c1ef3430fae348e44d998d536cc2cfc82654e84779047402aa8aa2e2e8b9009
0.8002,21.40,Doka Health Post,Doka Health Post,xwd:sha256:4c2ce18b14a8d5b0c4ab7fbdb5ff562fede8c3ee3d50e773bfc5dbcf494795a1
0.8002,21.35,Yakasai Health Post,Yakasai Health Post,xwd:sha256:a7f8e8ff2d68678fee9400eb383691a6f0b9c1d193081c9933c407bbe1be486e
0.8002,20.81,Doka Health Post,Doka Health Post,xwd:sha256:4f4d84ffe462b119cfbcab1d2a2726edea1fdc50447b18667193fd7b88dca3cb
0.8001,23.18,Yola Health Post,Yola Health Post,xwd:sha256:92b1ed585567ce42ba056d88b9f7825427b8d8edf2934377b9eae94c7146089f
0.8001,23.63,Geza Health Post,Geza Health Post,xwd:sha256:e4ce1a0e4a8fcbcd31d0e169606d017e6116db7950a835484740d97d01ab0018
0.8001,24.30,Jemomi Health Post,Jemomi Health Post,xwd:sha256:0f7c4e64b9aef2ea2c16a11fab3be37c668fbf06781de185e24beb837aa69397
0.8001,24.23,Kuru Health Post,Kuru Health Post,xwd:sha256:2f5ceed281e09173cd82d39a62b28844f3f574d663027a3ab24dc54edf11cd0c
0.8000,102.72,Unguwar Liman Health Post,Unguwar Liman Health Post,xwd:sha256:db11258dcd5b9ffe20d585893f3572ab6a2cc71176d62fa637742b9fb56f48a5
0.8000,74.63,Kaleku Health Post,Kaleku Health Post,xwd:sha256:20363889aa3a1e0a4c8df27bcb383d4d54059d55c7f3d0065cb62b47b9ee78c6
0.8000,61.19,Kaleku Health Post,Kaleku Health Post,xwd:sha256:f344f0cfff8bed6b01aa674a8573eb89291f8bf57380754e24df306a9ee726b0
0.8000,29.37,Masanawa Health Post,Masanawa Health Post,xwd:sha256:f24034b9cddb4bf10b8d5222576603afcac157755e7f07c087cee8514d24550d
0.8000,67.86,Walawa Health Post,Walawa Health Post,xwd:sha256:e7d708815f1432f9f2493ed34b0c813c8a1e6b67316b629381c36e02159770b3
0.8000,129.22,Maraku Health Post,Maraku Health Post,xwd:sha256:95945c94b71766354c8ca9d62e2c968d99205e0868248400c0a93678d6b5aa10
0.8000,95.77,Yalwa Health Post,Yalwa Health Post,xwd:sha256:bbee4eb533af568a29a6ac95951ce32cfc326f38a0ba0f616cf3a0f598398a0c
0.8000,114.61,Malamawa Health Post,Malamawa Health Post,xwd:sha256:a5f3e044114fff87e94b2f90166af50425aaa35f450b65375ca1cb72b7b45375
0.8000,129.21,Maraku Health Post,Maraku Health Post,xwd:sha256:7e60d8209fa6ad74db003538188139007cfb15937bd849a114a51952c64f28cd
0.8000,44.47,Kirya Health Post,Kirya Health Post,xwd:sha256:c20073017a58a50a9576363b666f30a20c8f5ee2ac3004c89c432b2b789719a2
0.8000,33.44,Yola Health Post,Yola Health Post,xwd:sha256:ac742869fe3021c66f02e79f7025af6e0ece9cfe1312145d3c0e02a5759457b3
0.8000,70.13,Yola Health Post,Yola Health Post,xwd:sha256:afaf797820801a6c35997d31c15a85b058ca4187dd9823d4e2bae890de62cb4a
0.8000,28.15,Kwarkiya Health Post,Kwarkiya Health Post,xwd:sha256:302ab7703b82d4329b8a5c89c061912b3a71b3314155e7af256e9b281924e828
0.8000,27.29,Garke Health Post,Garke Health Post,xwd:sha256:2e11e9eff8c806568aefdb93f5db4d944acc1be964d9294cd6d8229c0c9a63fd
0.8000,28.86,Kankarawa Health Post,Kankarawa Health Post,xwd:sha256:0fb49dde12ff5de5772908a54b2a80abf0da031ecf8ce7b97b25ffb4f1c4bccd
0.8000,26.31,Danbawa Health Post,Danbawa Health Post,xwd:sha256:78349d76e4c68fcc3ea940146511dadb2dfdd2eed604cd8355bbddd870395f54
0.8000,32.12,Sarbi Health Post,Sarbi Health Post,xwd:sha256:a769bc3aebe63aec817a79d3e0b3784c6c2903c27dc6f4479c33efcc8d8c571d
0.8000,38.17,Zango Health Post,Zango Health Post,xwd:sha256:82a36f536e928f7d967c6c3dc1c3439bdbc95d9ddc1f86b130682dc4be0e3e0f
0.8000,32.42,Zango Health Post,Zango Health Post,xwd:sha256:a8a31d6a6e413387b001aef6a26de8bada05a014346b075fd9db91182634d397
0.8000,49.13,Tabanni Health Post,Tabanni Health Post,xwd:sha256:c24ec13cc6fd30cac6a59e17c00e242db0fda959caea618e818ff0cef8d6ca90
0.8000,26.44,Unguwar Rimi Health Post,Unguwar Rimi Health Post,xwd:sha256:ce9a20ea11416b21db5aeb7774c641061ea20f2ffa9643dd67df2d6d4355dbdb
0.8000,93.82,Rinji Health Post,Rinji Health Post,xwd:sha256:5e5db5bc0e91cc7b5d3f83ec5fadff0c4403a9cfdae29d568dabafdc163d83df
0.8000,122.51,Kwajale Health Post,Kwajale Health Post,xwd:sha256:9157a046a6f94aa89c3262f4877483de4992796b2e77f37cccac97ec25ae1a2a
0.8000,72.33,Hausawa Health Post,Hausawa Health Post,xwd:sha256:46e2cf8b71e3afe439f57d921b584115cc83def1596475cbfa116917e585d2a9
0.8000,43.65,Kunkurawa Health Post,Kunkurawa Health Post,xwd:sha256:9a1c7816af60c182b5e7487bd41da556d3a911179d8831a9b2cff7d4a065d6a2
